Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
,,,58,,,,,,,,,,,,,,52,,33,,,,,,,,37,,
,,,21,,74,71,,,,,14-81,,,,,,,,,91-14,,8,33,,,,52,,28
,,,15,,57,,,,,,,,33,,14,,,,15-74,,,,,84,95-1,,,52,95
,14,91,,94,36,,,,,,,,,,,,,,,96-52,,91-74,,,,60,,36,
32,63,,,,,,,20-65,,16,,,91,,,,,,,,,,14,58,43,,,,
43,91,,,48-33,,,,,,,20,,,,,,,,,,,91,,,,,,,
57,,,13,92,,,52-49,,13,40,,11,,,,,33,33,,,33,,,11,,,,85,
97,,,,,16,,,52,,,57,,,,,91,,,,,,,,,,90,,,
,81,,4,,,70,14,,,,,,,,14,,,,,,,,,,,,,,
71,,,,,,,,,8,,52,,15-15,,,20-91,,,,,14,,24,,,70,,,51-95
,,,84,,,,57,86,,,,57,13,,,,,,,,,58,,40,66-96,,1,,
57-58,14-81,,,,,,,14-81,,,,,,,,52,,,,,,,91,15,12,,91,,
,52,,,,,,,,33-81,81,,,3,,81,,15,,88,52,50,,,88,,,20,,84
,,,91-36,53-8,,,91-33-33,,,,,,51,,,,,91,,33,47,,1,,92,,,50-81,
94,,,,,,,,,,,,,,,79,,,,52,,26,,,,6,,,,96
27-91,,14,,,34,,,51,,,72,,,,,,,38,1,,,52,11,92-52,,,48,52,
,,33,,,,35,43,47,,,,33,,15,,43,,,,12,,,,,,,,,
,,,,,83-14,35,,57,59,81,,,,,,95-91,,52,34,,8,,,91,,36-52,81-60,,
,,,,,,,,,,,,,,96,,6,33-96,,57,,8,,,25,,56,,,
,71,4,,,,,43,,,,4,,,,,,,,,,,,,,41,,,52,
,,,33-52-95,,,69,55,,27,,,,,,,,11,,,,,71,,74,,63,,,
,,43,,,,,,,52,95,,4,,91,1-52,,,,,,,11,,,,,91,,65-45
,,11,,61,,,70-65,47-26,,,,,83,,,,91,,,,81,,,,,,,,
,,27,,,4,,,,,,70,,,,,,,72-61,,,,81,,91,,,,,24
,,,,,,,,,,96,,,,,,,11,,,92,,,,,,,20,,
,,,,77,,,,,,3,,,20-84,,,,,,,,52,,,52,,91,,,
,,,,,,65,,,,,,,,33,,,,20,,72,20,,,,86,,,11,52
,,,20,,,52,14-52,,,,,84,,,,,8,,81,61,,,43,,,15-70,58,81,
,,37,,60,,,52-81,14,,52,,,52-58,20-8-52,,,,,81,,,,,,60,,,50,52
,,33,,81-33,70,,,,,33-41,,65-73-27,90,84-87,,,,,,52,,,,,52,33,48-20,,
,,27,,,,,,,,,,,91,74-52-52,57,,,,,,,40-81,52,,,52,,3,
,,,81,45,91,52,,,,20,,14,,,63,,,,,,95,,,,52,81,,36,
,,,52,,52,43,,,,,,,,,1,,,,,,91,8,,,52,,,,
,,,81,8,33,,,,70,14,,,,36-69,,,,,,,,96-50,50-3-81,,33,96,,81-96,
,,,69,,,,,,43,60,81,,,,40,,14,,70,,,74,,,,58,,52,
,,,84-67,8,,52,,,,,52,83-59,77,,,,,,,43,81,,,,33,43,,,52
91,,,,,66,,33,,,,52,,,,,18,82-58,52,,,84,,52,14,,,,,81
,,,81,43-52,,,,33,,20,,,,,33-52,,14,,,,,,,,14,,,,
,,,33-14,,,81,,20,,81,,61,,33,,,,,,,,,,96,,,,,90
,,,20,,26,,,,,,85,,,,,,,,,,,,16,52,35,33,,33,
,52-81,,,,,,96,,60,,,,,50,,,,,,,,,52,4-8-24-63,,,,,
,,,,,,26,,,,14,52,,,51,,,20-4,,23,,,,,,33,36-47,,,
33,,,81,,27,,,,,,,81,58-4,,,48,,,91-52,,,,,,,,,,
,,63,40-48-84,4,,,,,,,,,14,,52,,,20,,20,,,,,,,,,20
58,,,,,,95,,33,,,,,81,58,66,,,,,,,1,33,,,,43,52,81
,,90-85,,,52,,,,,,,,,,20,,,,,,,,63,,,18,,38,52-11
,,,,81,,,33,,,,,,,48,,,,,,,,,4,,55,,79-52,60,
,,,,,,24,86,91,85,,,,15-50,,,,,,,,,,52,90-52,,,,,
,,,,91,81,,91,,81,,,,1,,,,,33,,91,,,,,49,,,,
,,33,,,,52,81-33-36,,,,,88-81-43,,,,,,52,,,89,,43,92,,,,60-72,
,51,,50-14,52,,,,,,,33,58,,84,,1,,,21-4,,,,1,,,,,,21
,,,,,,,81,,91-14,,,8,,,,,91,,,83,,,,81-40,33,,,,
52,,,11,74-18,,,,69,,,52,,,,74,36,,,58,52,,,11,,,,,,
,,,,,,,,,,43,20,,,,,,15,,,,48,52,1,,,,,,11
58,,52,52,,,,,91,,,96,16,,52,90,,91-72,48,,14,,,14-91,,52,15,,48,
58-4,,,,11-33,,,,26-52,61,,,63,,14,,,,,,,,,,11-52,,,,52,
,,33,,,,,,8,,63,52,,,55-33,96,,96,,1,,28,,,63,,,20,,33
,,,,59,11,3,91,,83,,,55-37,65,52,,,33,,,,,,,,,,,,
81,,16,,,51,91,,,,74,84,20,81-43,,21,,,,,,,,,,,1,,3,
,,,,,58-52,12,,43-55,,91,,,,,96,,71-81,33,,81,55,,,,8,61,,16,
,,,,,,,,50,,,1,,84,,,,,,,,,,33,,,,,,
8-38,,91,,,31-52,,57,,,,,,,,74-95,,,,,,,15-4,77,,,,1,,
,,,92,,,,,,,,,,,,,81-14,,95,81-43,,,,52-91-1,,52,52,52,,
88,,,96,,,,,,,,,,33-81,,,,,,,,,,52-72,77,,,95,50,
,52,63,,,,,83,,55,11,,33,,,,,70,43,86-84,,,,,63,,,,52-36,
,,,,,,,,48-91,,4-81,90,,,,69,,33,14,,,,81,8,63,,,57,,
81-33,,,,,81,,,,,,,84,,52,,,,,,,,14,,,70,70,,92,
,,,,,,50,,,14,,96,14,,,,,,81,,91,,,,,16,33,,,
94,,81-91-57,,,,,,,,8,,38,,,,,,,,,,,,,,97,,,20
,,,91,,,,,,,,72,50,65,,,,,,,,,,,,61,14,,,
34,,,,,,27-81,,,33,58,,,,,,,,,,52-8,,,52,,65,,33,,97
,,72,,,4,82,,,,33-91,,52,,81,,,52,81,,,,6,,,,1,,57,14
52,33,,58-91,,14,14-95,95,36,,,52,,,36,,,,,88,33,26,81,,,,,,91,
,,33,43,81,,,14,,,,,,,14,,,,,,33-27,,,,,18,,,,71
,,,,,14-33,,11,51-23,91,84,,,38,,92,,,,,,,,,,,52,,70,
33,95,,,,,81,,,,,,,,,,,,,,,,,,14-33,,33,,,
,79,,,,81,,,,,40,,,,,,24,,,4-71,,,,,95,,95,,91,
14,,,,,33-81,,14,,,91,96,,,,,33,70-15,52,33,,,,,,,,,,
14,,71,61,,,,,,,,,,,81,,,,,14,,20-63,,,,74,,,,
70,,,,,,,,84,14,,,,14,84,,,67,,,,,14,,,,,,,52
43-65-84,,,,,71,,90-84-1,74,,,,,96-58-81,,14,,57,,,33,,,,,91,,,,
,,91,41,81-14,52,,,,33,,,,,14,,,,,,,,,11-52,,,70,,,
,,,,14,33,,,,,,,,,,4,,,,57,94-77-51,92-63,33,,,,,1,,52-11-91
,40,,,,,,,,,3,,,1,,,,81,,,,,,,,81-33,,14,,
97,,,,,6,,,33,92,,,57,,,,,91,,,,60,,,95,48,,,20,84
,,33,,52,,,,8,,,38,,8,,,,,,,52-52,,8,,,,,,,
,60,,,81-83,,16,,,,,,,,,,33,,4,95,81,14-71,,,63,,,63,,
,71,,,,,,,,52,,,20,,,,31,,,91-43,,,,18-52-90,,,,,,
,,,40,,,,,,,,81,,,,,,,,,38,,63,58,65,,,20-1,,79
,52,,,,,,,,,,,,,52,43,,,50,,11,81-11,,,,81-36,1-52,,,
,,,,,,,,,,,,92,,96-81,,91-83,,,,,,,,,,58,,,14
,,91,,,,15-11,,52,26-92,97,,,,,,,,,91-4-95,95,,,,,,,14,,
,,27,,6,,,70-92,96,,33,,33,33,,,,8,1,91,,,,91,,,,,,
,,,,,,,14-50,92,91,,,52,,,,,,,,,33,,36,,,52-72,14,57,
,,,52,71,,,,36,,,,91,34,,,97,,96,,,,27,92-91-1,52,,,,,
,,,,,,,,,,81,,,,,,,43,,,,84,48,,,81,,,,
70,,,,,36,,,,,91,,91,,38,14-81,,,38,14,84,72,,,,,,,,
,,27,,33,40,,,92,33,,,,,,,,,,81,,,,,,,,14,,
,,,,,69-16,81,,,,,,,91,,91,,,,91,,,,,,,,,,
,33-58,,56,,,15-91,,,91,,57,52,,,,,,,,,,,,,,,,95,
24,,,,,,,,,,,95,,,38,,1,,,1,,,52,,,,,,1,
,,,,91,,,,91,,,,,,53,,,,,,81,71,,,,52,52,,,
,,,,8-1,,,,,,,,,27,,,,,,,,,,,,,,,20-43,
84,,,,,97-4,,63,,,,,92,,,,,11-2,,52,33,,,,,52,,,,
81,,,,,,,,,,74,,,70,,,,81-95-74,,,,52,95,,,,,52-58,,
3,,,81-1,40,,,,,,91,,,,,,,,,,38,,,,,,,72,,
,33,,,,,51,,3,57,,16,,38,,,,,33,,,,92,,65-70,81,,,1,8
,,,81,,,,,,,,,,,,,,,,,,33-33,,,91,,,47-52,84,
,,,33,,,,,14,,,,80,,,,,,,,33,,66,,,11,58,,,
91,,,33,91-38,,,,72,81,52,81,,,,36-52,,33,,,,,,,,,,,,61
,,,47,,,,,25,,,,84,,,,,,8,,81,45,,61,,,,,8,
,,20,,,,,81-58,,,,92,,70,92,31-90,,,,,,,36-11,,38,,,,,
,91,35,,,,,,,,,,,66,33,,,,43,43,,14,,,,91,,86-87,,
,,33,,,,,43-24,,,,,,84,,83,,,33,71,,,91,,,71,,,,
,69,,,,14,,,,,,77,,,,,,,20,,50,,,,,83-84,27,,,74
,57,,,,52,38,52,,52,,,,,,,,,,,,,,,11,,,70,,
,,,36,,74,,,,,14-38,20,74,71,,,,,24,,52-21,11,58,,,,52,11,,81-70
20,33-33-36,,,16,74,,,15,,,,,52-89,,,,81,,1,,,38-51,,,,51,96,,
33,92,,1,,91,,27,,,,33,43,52-31,81,77,74,,,,91,,,,,84-81,,38-90,,
65-11,,,,,,52-60,33,52-84,,33,,,,,,,,,,81,,,,,11,,52-84,,
,,,,36-52,91,4-14,,,,,,,,,,,,91,,,,43,52,,79-65-91,,33,,92
,,,,,65,95,,,,,,36,,,,,,,,,85,,91,,27,,33,71-21,12-70
81,38,,91,,,,63,,,81,,,,,,,,,,,20,,23,,,,,52,
,4,,,,,,,,,,,,,58,,,,,,90-70,,81,,11-83,95,81,,,
,,,,,,91,,38,,14-81,15,,,,,,,,,,,4,,,52,77,,,
,,33,91,,,,,36,,,11,74,11,8,,,,16,,,,,,,70,18,,,
,91,,,,,,27,,,27,,,,,,,,91,,,,,14,,,,,,36
,58,,,,,,,,95,92,,52-94,,,,,15,,8,,89,,,,,,,20,
,,,,,,,,,,,,,,57,,,,70,,,52,,,27-52,,1,,14,
20,6,,,,36-33,14,,14,,,3,,,36,61,,,81,88,,,,,,84,,52-81,33,97-59
,,74,33,,,91,,,,,,,,,,,,,,,,95,69-90,,,60,52,,
,,,,70,20-63-43,,81,,81,34,,,,,14,,,70,49,,,52,20,,,,96,,
,,27,,,,,,,,,,95-77,,33-11,81-83,,,,,,,,,,,52,,,
8-52,,69,,20-52,,11,,,81,36,,70,,,,,,,,,,86-43,,,72,15-43-47,91,81,
,,36-33,,4-81,,48,,,,,14,,,,74,,52,,14,,,,,,,8,,81,
26,,,,,,,81,,40-85,95,79,,27,,,,1-33,96,,,91-43,,,,63,81,1,,52
84,69,72,,20,,,,,,74,,,28,14,,,96,,,,,,69,,58,3,14,,
81,3,,,,39-33,33-91,81,,,,,,,,,,,,,81,,,,,,52,,63,
,,,,,,,91,,,,,92,,,81,,,,91,33-1,81,1,15,,,,,,57
,,,70,,,,,,,97,14,,,36-48,89,,,,,,,,,,,,81,,
,,,,,,,,,1,83,,,,,,20,,91,,,33,57-52,,,,,,,
,,,81,,,,52,,,1,,,69,,38,,81-33,,,33,,,,,,,,52,
,,,,52,,,,,14,,,,,,81,,,,,74,,,,,79,65,15,,52
,,,,,,,,,,,,,36-20,,,,,50,,16,,,,,,65,,,
92,,,,,,96,,,,,,58,81,,36,,,52,52,,,,43-84,,82,,,16-36,
84,18,,,,97,,,,,,,,,,,43,,,,77,36,91,,,,52,,,
,,,,,,91,50,60,,,52,,,52,,79,39,,,50,,,63-8,,33-14,,,,81
,58-33,,,,,,,,14,,52,52-27-58-96,,81-48,,,,,,,,,,,1,95,,70,52
,,92,43,,,,,,,,,,52,,,,,,92,,81,14,,,,,81,,
16-33,52,,,70-27,,20,,,,,,,,84-14,,,,79,,4,,14,,,,,14,71,50
,,,,33,,,,,,,,,52,74,,,25,,81,92-52-58,,,33-91,,,79,,,
43,,,,,,,,,,,,,,52,48,61,,,14,52,,,,,,,,14,
20,,,43,,,81,,,96-25,,,,20,,,61,,,,,,,52,,,65,,74-3,
,,,,,,,,,,91,,,57,,,81,91,,,,50,,24,,,33,81,33,90
91,33-81,,74-91,,95,,52-14,,,18,14,,,,,,,,,,81,58,,,,,,,
,,,,,,,,92-52-58,,,81-8,81,,,,,,,,,,27,,,,,,,
,,,52,,,,84,21-51-90-4,,91,58,,27,31-15,84,,,91,,,43,,,,,,,,
,,,,,,,,60,14-40,15,,,43,,,70,,,,15,33-15,,,,,,,18,
,,,,,,,,79,81,,,,71,,,,,,,,,,27,20,,,74,83,
1,,,,,,81,,,,,,,,,,,,48,,,,,,,,,,,
,,,,,,,,81,,58,,,,,,20,,74,,,,95,11,33-91,,,,91,
,,70,,33,,,,52,,,,,26,,,,92,77,,,84,20,,,,,,,
,,,,,,33,,,4,,81-24,33,,20,,,90-85,14,85-11,,,,,,,,,,
,,,,48-91,,,91,,,,95-59,,,,52,,,,70,,91,14,,,16,,,1,
40,,,33,,33-91,52,,,91,15,,84,,81-72,,8-91,,,,,,,,,,48,,91,95
81,79,,,,,,52,,20,,53,,82,,,,,,,,,,,52,,20,33,,91
52,,,,,,61,,,,,58-96,,,,92,,92,,,43,,,48,14,,,,,
,58-87,92-38,,,61,,,,69,,,33,,,,33,,16,,,,,,81,52-52,91,,,38
,,20,,14-14,,52,,41,,36,52,,,,36,,,,,,20-33-11-14,,36,,,,,,
,,81,,31,81,,,84,,,,,,,,,,,,,,,,,,,52,,
,85,14,,,91,,,91,,95,91-38,33-91-52,,,,43,,,40,70,,81,,,,,,,55
,,,50,14,,,,,,,,,,8,,,,,,70-58,,,92-96,,,,33,91-16,33
36,,,81,,15,,,,43-72,,,,,,20-91,,,20-60,,,,,,52,,,20,52,
,,,,,65,14,,34-27,,,,,,,,58,36,11,,,,,,,,14,33,61,
97,,14,20,,,,91,91,63,,,33-14,,,20,61,,14,,,,16,,8,91,,72,71,
,,,52,,,1,,,36,,,,,53,49-81,4,63,,,,,,74-15,,61,,91,63-96,
,,,,,,,,,,,,,,,,90,,,43,,48,,,,,,,,
,,,61,52-52,91,24-20,,,,,70,91,,,,92,,81-81,52,1,,,,52,36,14,,20,
,,92,92,,36-14,,31,,,,,95,,,,,,,,,52,51,,90-52,,20,,,
,14,,,,52,,52,,,,,92-36-38,,,,,14,,,96,,14,91,52,,,,,
8,,,,,,,,57,,92,,33,,,15,,,,,,,,,,8,,,,
58,92,,84,,83,,69,52,,84-15,36,,,81,,,,,,,,,74,58,,,70,,81
,,20,,,,,,,,,,,,81,,,14,,14-95,,52,52,,14-52,,80,14,,
,,,58-37,,,,,,,,,,,,,,81,,,,,,,52,,,,,
,16,,,,38,,,52,,,50,60,33,,,,92,52,,,52,,91,,,,,43,
,,81,,,,,,,81,96,,,33,,,,,52,,,,,,31-81,,48,,,
,81-48,,,,,,,,57,,,,52-11,,,,,1,,20,,,,,,,91,,
52,,,,,,,81-1,,,,,,33,,,,,,65,,11,,,,,,4,,
,,20,,71,,,52,,14,,,52-91,,,,14,,33,,96,,,,,63,,20,36,
,16,,,,,,,,,,,,,,,31,,,,,,,96,,,,,,
,,96-52,,8,,81,,70,,,,,,,,,,,,,,,,,41-53,,,,74
,,,,14,,48,,38,52-88,,,,,51,,,,48,,63,,,,,8,4,11,72,
,,91,57,,52-36,,,,,,,,,52,,,81-90,52,,,,,,,,,69,,
,,,33,,,,,74,,,,,,,,,38,,,,,65,91,,,24,14,52,52
43,,52-91,39,,38,,81-81,33,63-81,,52,,,,,,,,52,,,,,,40,,12,,52-81
,14-14,59,,38,81,14,,,,33-81-20,,43,,,,,,,,,,,,96,,,,81,82-1
,,,,,,,81,43,52,,,3,,,,,,,81-52,84,37,33,,,,,,,
,15,,,91,,,21,,,,,,,,,,52,,,4,,,84,,,,96-95-71,65,
,,,,,84,,,,,,,72,,,,43,,,,,,,,,65,,,,
,,8,,,,8,,,69-52,,46,,91,,,,,14,,85,,74,,,,,43,85,
6,,,52,,58,33,,14,,,14,,,,,,,,,,,33,,,,,,,
61,1,,,20,52-63,81,,,,,,,,,,,,4,33,52-20,,,,,,,,90,43
,33,,,,,,,,81,14,,,,,,,,,,,,,,69,55,,8,,
,6,,1,52,,,38,,74,,,,,,,,,,,,,,,,,,,81-8-70,69
,97,52,,,15,58,,,52,,,,,81,,33-91,51,,15,,61,91-33,,,,,,,
,91,81,,,,,,,81-14,,,,52,,,,,,91,20-14-52,,,,,,,,,
,,,,,,,57,,,,25,91,,91,,,84,,,,,,,,,,20,,61
,,84,81,33,,,,,,,,,,,20,72,,,,,,,,,33,,52-27,74,1
38,74-91,,43,,,,,52,43,,,,,,,,,,27,,,,81,,,,,,72
,,,,,,,57,,,,,,,,,,,27,,,,,,,,,,,
58-11,,,,,,91,96,,,,,,33,,,,,,,,43,92,,,52,81,,,
,,,,,70,,,,3,,,,,,,3-92,81-61,,,,43-95,,33,,95,52,91-52,,
,,,,,1,,20,,,,,31,14,25,,,52,,,33-8,91,,,,,1,,,
95,,,,,,83-90,,,,,,,,36,,,43,,60,,,33,63,,,,38-1-14,,81
,47-27,,,,,91-36-14,,50,81,,,,,,,,95,,,43,,,20,,43,,,33-52-33,
70,,,,95,91,8,,,,,1,94,81,,,,,,,20,52-43,,,36,,,,,11
20-69,,,38,,,,,,,,33,,11,,,,,,,,,,57-74,52,33,52,,69,
,,,,,81-61,73,,91,,95-36,,,,,,,,88,,,20,,,,,37,,,
1,,,,,,,,,,15,,52-85,91,,14,81,,,,,,52,,,1,,,20,
,,61,,,,,90,,,,,,11,,,,,52,,1,,,,,,74,,,14-74
,,,91,,,,,,,,,,,55,,52,,,,52,,,,,33,74,81,,
,,,,1,91,,,,,52,,,15,,35,,,,91,,,,,,,16,,,14
,,,,,,,97,,,,,60,64,,91,,,,,,14,11,,,,,61,48-52,
,,95,,,,,,,,,33,57,74-95,92,8,,,,,,,,1-52,,,,,,
81,43,,,,4-48,,,,,92,,,52,,,,,26,,,57,,4,,,,,,
,,81,,,,58,33,,,,84,,,,33,33,,,,,,91,,,11,,,,
,,,,,14,,,,,,37,,,,,,63,58,51,33-83-52,,,,,58,,,,
,,,,,,,,,33,,,52,,,69-81,,,,51,14,,,,,,,,,11
,14,60,,,,,,,,,,,14,,33,,,,,,81,,14,,48,,,,
,,,,,,,70,14,,,,,,,,14,14-91,3,43,91,,91,,,33-71,95,43,,74
,,52,,,52,,3,,,,,,,,91,11-81,52,,,,84-31,,,,,,,71,
,,,58-4,,,20,,20,,,14,33,,,,,1,,,33,82,,,,81,,43,43,
,8,81,,,81,,11,36,,,91,,,,,,52-90,,,,,,36,33,,81,,14,
,,15,63-81,84-92,,52-14,52,,,,,14,65,,,70,,,,,,69,,,,,81,,
,72,,,11,,,,,1,,,18,,,,,,,,,,,,,,11,,,
,70-59,58,,,58,,,14,,,52,52-14,38,,,,,52,91,,91,,,,,,,,1
52,,,,81,52,8,,,6,,,,,81,,,,,60,,,,,,25-45,,,,
,,43-81,,,,,,,,95,,81,,,,96,,,77,,,,,51,,26,,,52-33
,,8,,16,,81,,92-72,,,,,,52,,,,,,94,,,91,,,,,,
33,1-52,,52,69-16-20,20-31,,15,,52,,58,,,,97,,,,70,,,,,91,16,27,,,20
16,14,,,95-52,,,92,,,,,,52,61,,,,,,,,,,,57,16-33,,,
,,,,58,,,,,,52,,,,,,,,,91-35,31,,40,14,52,,,,,83
81,,91,,,,14,33,95-14,,,,81,,,,81,,,,,,,,,,11,,,
,,,57,,,,,,33,,,,43,49,20,16,,,,4,,,,,,,,1,
,92,43-52,81,,50,,,43,,,,,,,,,,84,,,,,,,,79,,,
,,,58,52,,,,48,,,,,,,,,,,,,,33,81,,,,,,
,,,,91-20,,,,,,,,,14,,,,,,,,,14-58,14,,40,81-52-90,81,,52
,71-33,,,74,6,,57,,,,80,91,,,,84,,,,70,,,43,,,,27,20,58
,15-36,,,,,83,,,,,,,,,,84,,33,52,,8-91,,,,59,81,,,
,,,52,91,92,,33,,,,,,88,,,,43,,,,,96,,,,91,,,
,,,1,,,,,,,61-96,52,52,,91,,,,,,,81,,,,,,,91,
,,,,,,52,,,,15,,,,,27,52,,48,,,,,,,,,,,95
,,84,,58,,,26,14-43,20,72,,,,,,,,,,,57,,,14,,,36,40,
,,52,,82,,,43,,,11-52-84,,,,63,,,,,,,,,,,,,72,,
,,,,,26,,,,,,,,,,,15,,,,,64,,,,,,,,
,,,,52,,90,,,,,,,,,,,,,65-36-14-74,,,,,63,,59,58,,
,,,,,,,,33-86,,,,,,,,,,52-52,,43,52,,,61,91,,,,94
,,,,,,1,,,15,,25,,,,,14,52,,66,,,,,,,53,,85,
,,,58,58,,11,,,33,,70,,74,33,,81,90,,52,33,,,,,,81,,52,
,,48,,1,,52,,,,8,,,,,,,,,,,,,,,94-52,,,,
14,,81,,81,,,74,84,,,72,,79,,,81,43,,,,,,,,,,52,,
8,,,,,52,,,,,16,,,,,,33-81,,,91,,,,,,,,,,
52,,,,,,,,,,14,,,,91-91,14,,,81,,,,,67,14,,33,,,43
8,4,,57,,38-8,91,20,74,1,,,,,63,33-14,,,,,70,,,63,,36,24,,,
,82-23,,,,,,,,74,,,96,,43,,,,,,,,,,,,74,,81,72
,,,,,,,,86,,,,,,,14,,,4,,52,85,,77-91,,,,52-15,43-52,
50,,33,,14,,,36,,,,,,,,37,,,,,91,,36,,,,52,52,52,8
,15,,,81,,,,26,91,,,,61,,,,,,,95,,4-95,81,,,,33,81,
31,11-57,20-61,,,,33,91,,,,,,,12,52,,,8,,,,52,,,,,,,81
,,,,81,74,,43,,52,38-84-97-91-14,91-61,51,,16,,,,,,27,36,52,,91,,,52,,
,55,,65-84,46,,,,,,,,,,,,,,,,,,,,,,43,,,63
,,,91,,43-94,,,33-91,,,,,,,18,,,,,,52,63,8,81,,40,,94-14,
,,81,,,81-52,,,81,81,,,,,,,,,65-81,,,,85,,,,,24,36,
,16,,,,,,,,77,,,,,95,,40,,33,,36,33,,,,,,,,50
,84,,,,20,,18-58,,,33-97,,,,24,,,91,,,,,,,,,81,55,,
,,,97,,,,,,,,,,11,,,,,33-14,,,91,18,,33,,,,,
,,33,,63,,8,,14,,,,14,52,,,,33,,91,,,,,,,91,,,33
36,,,4,33,97,52,,,,,,51,,,61,,,,91,,,,,,,,,,
,,91,79,,91,,,,92,,34-18-43,,,,,52-92,33,92,,92,,3,,,,,,,
14-15,,,,,,,,,,,52,,24,,,,,,,8,,,,,,,,,
,97,,70-95,,,,,58,,20,,33,,,,,84,92,,81,91,,,,52,,,,
65,52,,92,,,,,33,,,72,,74,,63,81,,,,,61,20,,33,,,14,,
,58,,,74,52,,33,,,,,,,,51,,81-18,91,,,,,96,51,,,,,33
,1-84,,,43,4-33,,88,,,,,16,92,,14,52,,,,,,,,,69,,11,,
33,,,,,,,,,33,,,,,,,,24,84,,,,,,33,,,,,43
91,,72,,,11,14,,,,,81,,,69,4,,,14,84,,,,,84-50,48,,36,,
,,52,,,,,52,20-20,33,,,,36,16,26,,20,,,,,,,1,,,,14,11
52,,91-43,,,,,52,,81,,33,,,,95,,52,,,,,,,55,,,,,
,,,52,43,15,,,,14,,14,,,58,,,,16,,20,,,,,,,,74-14,14
,,,40,14,,81,91,,,,,,,51,,,43-33,,,,,,,60,,,,,65
,,,11,,,,8,,,,90,,90,52,,,,,,,,,,,,,,,
,36,,,69,,,50-43,,43,14-33,,52-20,71,81,81,61,95-90-33,1,4,,,,40,92,,,91-14,81,
,,,,,,,,,,,,,,,,90,,,,,82,90,,,,,,70,
,87,,49-11-14,43,,,,,,,,,,,,72,18,,,,,,,20,,81,52,,
33,60,,,,,,,,81,72,,,,,14,,,,,,,58,,,,36,,74-52,
,,79,,,,20,,,,,,,,33,,43,14,,,16,,,91,,,91,,,52-3
,,,61,83,,,74,,,,81,,,,,74,,15,,14,63,,91,63,,,58,,27
,36,,,,,,14,,,,50,,43,27,,,,74,,,58,,,,,,,52,
,64,20-81,15,16,,11,,,,,38,,,,,,,,,,,,,50,,,,66,
,,61,,,,52,,,,3-91,,,,33,,,33,,14-65,,1-83,,,83,,,,,64
,,,,50,,,,,,,,,,,,81,,,,,,,,,33,,,,
33-92,,,,38,,,,,,,,,92,,92,,,97,79,,,,,1,,,14,,74
,88,91,91,,,,70,,,81,81-57,,,,,,,,,91,,,,,33,33,79,51,
,,88,,,96,,,,,,,,14,33,16,,,,,52,,,,,1,,,,
,,,,,,,,,84,,92,,,,81,96,52-74-36,,,,,,,,,,,,
14,,,58-52,33,,,,,,,,37,,14,,1,,,,,,,,,,,,,
,,,,4,,,20,,,,,,,43,,,,36,52,,,96,,,71,52,,,
,20,,,,,,,,,,,,52,,,,,,,,60,92,92,52,20,53,52,,
8-1,,,,,,,,,33,,57,65,,,,,,,91,,50,,,,81,,95,,52
,43,,33,,,,,91,,,,,,,1,,,,,,,,,,87,,,,
,,,,,,56-84,,,,,,66,,,,,,,,,,,,97,,,,,
,,88,,4,,,,,,11,,91,,,,52,,,,,,,,1,58,,,74,
,,,,,,,91,,52-15-58,,52-70,,,,36,,,,,,14,,38-52-50,,43,,,60,
,81,,95,,,,,14-85,,,,,11,,91,,,,,,40,,52,,,,,,
81,,11,,,40,,,,60,,52,,,,15,,,,,,,96,,91,,,,,
18,,,,70,38,,,,,,,71,1,,,,8,,52-57,14,26,,,,,,81-81,33,52
43,,,52-4,,,,,,,14,,43,,,,,,70,,,,,,,8,,14,,90
,,,,,,,,,,63,52,,,74,71,57-58,,,,,50,,43,,,,91,,
65-70,52,97,,36,60,,,,,,58,,,,74,,,,36,38,6-33,,,52,33,74,,,
,,,,,,,,14,96,,,,,83,,,,52-24-35,90-1,,,,52-20,,,,,,
4,,,84,,,52,,,52,,12,,,,,,,,90,,,,,,,,38,14,
,88,,,12-52,,,52,,,,58,,50,20-26,,81,,,63,,,,,,,,16,,
,,,,,,,,36,,,50,69,,50,,,,,,,,,,37,85,97,96,33-52,
,,,,,,,89-33,,84-33,,11,,,,,,,,,,,14,61,70,,34,84,57,
35,92,91,,,,,,,,,,65,,52,,,,,,,,,,,,,,,
,,,,33,11,,,,,,,58,52,,,,,52-33,95,,,,,,,,38,,
,33,,,65,,,,,,,,86,,,,,,,,,,52-14,91,33,,,,,
,,43,18,38,,,63,,,,,,72,,,,,,,,,,70,,91,,,,
94,,,,,,74,,,,,52,91,14,,,,86,,37,33,,,36,,,,33,,
,,,,,,,,14,,66,,,,,,81,52,,,33,96,,,,36,,,,
,,,,,,,,91,,,91,,,,,,15,,,,,52,,,,1,,33,
,,,,11,,,,,1-74,,91,,52-51,52,,95,,,4,,84,,,21-91,1-97,,,,
,,,,,33,,14,,,16,,,38,,25,1,,,,43,,,72,,74-4,,,,33
43-31,,,,,81,,,,,,,,,,,,,,,,,,,,92-14,20,,52-81,52
,,,,43,,,,91-52-57,,,,,96,,58,,,,26,,,,33,95,,,,,52
