Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Year16,Year17,Year18,Year19,Year20,Year21,Year22,Year23,Year24,Year25,Year26,Year27,Year28,Year29,Year30
24,69,,,43-4,,,,,8,92,,14,,,33,52,25,,,,,3-47,43,,,,,,15
,15,,,,52,,,,,,,11,,,,,20,,,,16,91,,,,,81,,
,,51,,,48,1,,85,,61,,,,,,,,,20,,,,81-52,,,52,,,
,52,,,,,,38-33,,,20,,,,,,,,81,86,,,,,33,52-91,,,,
14,15-74,,15,,,,15-91,,,,36,,,,,57-87,33,,,,,,,,70,,,,
,,,81,,,84,,,,,,74,,,70,,,,,,,,,14,,91,,,
4,,,,,,,,,,,,,4-91-33,,,,84,,92,,83-52,,,,,,91,91,
,,,14,,95,,,33,,,14,,,69,18,,36,,,,,,,,70,,,,
,,,,,,,,,,37,,,,51,,,,,91,,,,,,,,,,
,,,81,,,33,,1,52-11,1,,,95,,,,,,15,,,,,,,,,,
61,,,,27-52,,,69,,,4-60,,,,,,33,,43,,,,,,,,,,,
,,,14,,81-14,,,,,,,,,52,,,,52,81,,33,,,,,,,,
,,91,52,,,,,,,81,,65,81,,,,,,,,,,,65,79,52,70-20-70,,52
,57,,,81,,,,,,14,,20,,,,,,,,,,,,,38,,14,,
,52-26,,,11,,52,,,11,51-74,20-1,,,,,,91,,,4,28,,8,15,,81,,,52
,91,3-81,,,,84,,92-47,,,,43,,,,,36,20,91,14-58,71,,,,,14,92,14,
,,70-95,,,61,,,,,,,,,,,69,,,,52-20,12,,47,,92,,,52,
,,,91,,61,,70,,,,,,,,,,3,60,,,,,,33,91,,,14,
33,,,,,,33,,52,72,,,94,,81,52-14,,,41,81,14,,96,,,,,,,
,91,43,,52,58,,,,83,84-24,,,,,,,36,95,,,,,,,,52,,,
,,79,,,,,81,,91,,,15,,,,26,,,,,,,,,,,,57,66
91,72,,,11,,52,,,52,,,,,,,,,,,,,27,,,,,1-14,81-38,
,52,,,,,46,,,,,,33,,,,92,,,,16,41,,,,,,81-36,,
,81,,43,,,,,,,,63,,,,,,,91,,72,,,33-81,65,,52,4,,
50-91,,,,,8-65-14,,,81,14-31,51-8,,,,52-63,,96,,91-20,,,,,,,,,,,
,58,,,,,,,,55,,92,,52,,,57,,,,,,,,15-91,,,,,74
72,,,,,,,,,,,,,,52,,,,,87,,,,66,,,,,81,
,33,18,81,,,,14-38,,14,,52,14,,,33,,,,81,,,,,,92,,26,,
,74,,,43,,,,,,91,,63,,,,63,,,,,,,91,,,77-52,,,
,,,95-35,14,50-1,,,,,,52,,,,,8,60-69,31,,,97,,92,,81,21,,,
,52,,,96-81-23,24,,38,,,,92,52,,33,,,,61,,,,,,,,,52,81,
,,,,13-33,90-52,,,85-47,81,33,,,,,11,,,,,,,,33,,,,,,63
,,43,,20,,81,,,,,,,,,,,,,,16,,,,38,,,,,
